vocab,pattern_name,english,japanese
後で,後で〜,後でする,to do later
後で,後で〜,後で言う,to say later
後で,後で〜,後で見る,to watch later
全て,全てを〜,全てを見る,to see all
全て,全てを〜,全てを行う,to carry out all
全て,全てを〜,全てを知る,to know all
全て,全ての〜,全ての人,all people
全て,全ての〜,全ての人々,all of the people
全て,全ての〜,全ての国,all countries
全日本,全日本〜,全日本大会,all-Japan tournament
全日本,全日本〜,全日本チャンピオン,all-Japan champion
全日本,全日本〜,全日本プロレス,all-Japan wrestling
全日本,全日本の〜,全日本のコーチ,all-Japan coach
全日本,全日本の〜,全日本のメンバー,all-Japan members
全日本,全日本の〜,全日本のエース,all-Japan ace
午前,〜の午前,休日の午前,morning of the holiday
午前,〜の午前,今日の午前,this morning
午前,〜の午前,平日の午前,weekday morning
午前,午前〜,午前午後,morning and afternoon
午前,午前〜,午前中,during the morning
午前,午前〜,午前7:00,7 a.m.
足首,足首を〜,足首をひねる,to twist one's ankle
足首,足首を〜,足首をまわす,to circle one's ankles
足首,足首を〜,足首をつかむ,to grab someone's ankle
足首,足首の〜,足首のいたみ,ankle pain
足首,足首の〜,足首のうごき,ankle movement
足首,足首の〜,足首の力,ankle strength
カバン,カバンを〜,カバンをもつ,to hold a bag
カバン,カバンを〜,カバンをひったくる,to snatch a bag from someone
カバン,カバンを〜,カバンをもらう,to receive a bag
カバン,カバンに〜,カバンに入れる,to put something in a bag
カバン,カバンに〜,カバンにしまう,to put something away in a bag
カバン,カバンに〜,カバンに入る,to fit in a bag
カバン,〜のカバン,自分のカバン,one's bag
カバン,〜のカバン,大きめのカバン,a larger bag
カバン,〜のカバン,先生のカバン,the teacher's bag
カバン,カバンの〜,カバンの中,inside the bag
カバン,カバンの〜,カバンの口,the opening of a bag
カバン,カバンの〜,カバンのチャック,the zipper of a bag
カバン,カバンから〜,カバンから出す,to take something out of a bag
カバン,カバンから〜,カバンからとり出す,to take out of bag
カバン,カバンから〜,カバンから出てくる,something comes out of bag
カバン,〜カバン,大きいカバン,a large bag
後ろ,後ろから〜,後ろから見る,to look from behind
後ろ,後ろから〜,後ろから来る,to come from behind
後ろ,後ろから〜,後ろからおす,to push from behind
後ろ,後ろを〜,後ろを歩く,to walk behind
