vocab,pattern_name,english,japanese
休学,休学を〜,休学を考える,to consider a leave of absence from school
休学,休学を〜,休学をえらぶ,to choose a leave of absence from school
休学,休学を〜,休学をする,to take a leave of absence from school
空気,空気が〜,空気がもれる,air leaks out
空気,空気が〜,空気が入る,air enters
空気,空気が〜,空気がながれる,air flows
空気,〜の空気,タイヤの空気,the air in a tire
空気,〜の空気,外の空気,fresh air
空気,〜の空気,山の空気,mountain air
空気,空気を〜,空気をよむ,"to sense the mood, to read the situation"
空気,空気を〜,空気を出す,to let air out
空気,空気を〜,空気を入れる,"to let air in, to put air into"
考古学,考古学〜,考古学ファン,an archaeology fan
考古学,考古学〜,考古学コース,an archaeology course
考古学,考古学〜,考古学チーム,an archeological team
考古学,考古学の〜,考古学の先生,an archaeology teacher
考古学,考古学の〜,考古学のデータ,archaeological data
考古学,考古学の〜,考古学の本,an archaeology book
当たり,〜当たり,一人当たり,per person
当たり,〜当たり,月当たり,per month
当たり,〜当たり,一日当たり,per day
当たり,当たり〜,当たり外れ,winning or losing the lottery
当たり,当たり〜,当たりくじ,a winning lottery ticket
当たり,当たり〜,当たりどころ,the spot where something hits
今すぐ,今すぐ〜,今すぐやる,to do right now
今すぐ,今すぐ〜,今すぐやめる,to quit right now
今すぐ,今すぐ〜,今すぐする,to do right now
牛肉,牛肉の〜,牛肉のパック,packs of beef
牛肉,牛肉の〜,牛肉のうまみ,the deliciousness of beef
牛肉,牛肉の〜,牛肉のステーキ,beef steak
牛肉,〜牛肉,おいしい牛肉,delicious beef
牛肉,〜牛肉,ブランド牛肉,"name-brand beef, high quality beef"
牛肉,〜牛肉,スライスした牛肉,sliced beef
牛肉,牛肉を〜,牛肉をたべる,to eat beef
牛肉,牛肉を〜,牛肉をもらう,"to receive some beef, to take beef"
牛肉,牛肉を〜,牛肉を切る,to cut beef
牛肉,〜の牛肉,生の牛肉,raw beef
牛肉,〜の牛肉,今回の牛肉,the beef this time
牛肉,〜の牛肉,スーパーの牛肉,supermarket beef
牛肉,牛肉〜,牛肉ミンチ,minced beef
牛肉,牛肉〜,牛肉コロッケ,beef croquettes
牛肉,牛肉〜,牛肉メニュー,the beef menu
生まれ,〜生まれ,イギリス生まれ,born in England
生まれ,〜生まれ,冬生まれ,born in winter
生まれ,〜生まれ,五月生まれ,born in May
青い,青い〜,青い色,a blue color
青い,青い〜,青い光,blue light
青い,青い〜,青い空,blue sky
青い,〜が青い,水が青い,water is blue
青い,〜が青い,色が青い,the color blue
青い,〜が青い,空が青い,the sky is blue
体,体を〜,体をうごかす,to move one's body
体,体を〜,体を見る,to look at the body
体,体を〜,体をあたためる,to warm oneself up
男の子,男の子が〜,男の子がする,a boy does something
男の子,男の子が〜,男の子がいる,there's a boy
男の子,男の子が〜,男の子が生まれる,a boy is born
男の子,〜の男の子,他の男の子,other boys
男の子,〜の男の子,一人の男の子,one boy
男の子,〜の男の子,クラスの男の子,a boy in the class
男の子,男の子の〜,男の子の声,a boy's voice
男の子,男の子の〜,男の子のパパ,a boy's dad
男の子,男の子の〜,男の子のママ,a boy's mom
〜斤,〜斤,一斤,one loaf
〜斤,〜斤,二斤,two loaves
〜斤,〜斤,半斤,half a loaf
兄弟,〜の兄弟,自分の兄弟,one's own siblings
兄弟,〜の兄弟,母の兄弟,my mother's siblings
兄弟,〜の兄弟,他の兄弟,other siblings
兄弟,兄弟〜,兄弟どうし,"between brothers, between siblings"
兄弟,兄弟〜,兄弟げんか,a quarrel between siblings
兄弟,兄弟〜,兄弟たち,"brothers, siblings"
兄弟,〜兄弟,ライト兄弟,the Wright brothers
兄弟,〜兄弟,男兄弟,male siblings
兄弟,〜兄弟,二人兄弟,two siblings
兄弟,兄弟が〜,兄弟がいる,to have siblings
兄弟,兄弟が〜,兄弟ができる,to gain a sibling
兄弟,兄弟が〜,兄弟がする,a sibling does something
毛虫,毛虫が〜,毛虫がいる,there's a caterpillar
毛虫,毛虫が〜,毛虫がつく,a caterpillar is on something
毛虫,毛虫が〜,毛虫が出る,a caterpillar appears
毛虫,毛虫の〜,毛虫のなかま,"types of caterpillar, a caterpillar's companion"
毛虫,毛虫の〜,毛虫の毛,caterpillar hair
毛虫,毛虫の〜,毛虫のフン,caterpillar droppings
近い,近い〜,近いうち,"sooner or later, the near future"
近い,近い〜,近いところ,"a place nearby, the near future"
近い,近い〜,近いほう,the closer one
近い,〜が近い,年が近い,close in age
近い,〜が近い,トイレが近い,"close to the toilet, frequent urination"
近い,〜が近い,山が近い,the mountain is nearby
近い,〜に近い,ゼロに近い,close to zero
近い,〜に近い,自分に近い,close to oneself
近い,〜に近い,入り口に近い,close to the entrance
色,色が〜,色がちがう,the color is different
色,色が〜,色がつく,color is added
色,色が〜,色がかわる,the color changes
色,色〜,色あざやか,vivid colors
