vocab,pattern_name,english,japanese
留守,留守に〜,留守にする,to be absent
留守,留守に〜,留守になる,"to become absent, to neglect something due to preoccupation with something else"
留守,留守に〜,留守に来る,to visit while someone is away
留守,留守〜,留守中,while absent
留守,留守〜,留守がち,tend to be away
留守,留守〜,留守みたい,seems to be away
留守,留守を〜,留守をする,to be away
留守,留守を〜,留守を守る,to keep watch while someone is away
留守,留守を〜,留守をあずかる,to take charge during someone's absence
料理人,料理人の〜,料理人の料理,a chef's cuisine
料理人,料理人の〜,料理人の技術,a chef's technique
料理人,料理人の〜,料理人のテクニック,a chef's technique
料理人,料理人を〜,料理人をやとう,to hire a chef
料理人,料理人を〜,料理人をさがす,to search for a chef
料理人,料理人を〜,料理人を見つける,to find a chef
料理人,料理人が〜,料理人がいる,there is a chef
料理人,料理人が〜,料理人が作る,a chef makes
料理人,料理人が〜,料理人が料理する,a chef cooks a dish
入門,〜入門,研究入門,an introduction to research
入門,〜入門,プログラミング入門,an introduction to programming
入門,〜入門,科学入門,an introduction to science
入門,入門〜,入門コース,introductory course
入門,入門〜,入門者,beginner
入門,入門〜,入門用,for beginners
入門,入門を〜,入門をする,"to begin an introduction to something, to enter into an apprenticeship"
入門,入門を〜,入門を考える,to consider becoming an apprentice
入門,入門を〜,入門を決意する,to decide to become an apprentice
冒険,冒険〜,冒険者,adventurer
冒険,冒険〜,冒険心,adventurous spirit
冒険,冒険〜,冒険家,adventurer
冒険,冒険を〜,冒険をする,to have an adventure
冒険,冒険を〜,冒険を楽しむ,to enjoy adventure
冒険,冒険を〜,冒険をくり広げる,to embark on an adventure
冒険,冒険の〜,冒険の旅,an adventurous trip
冒険,冒険の〜,冒険の始まり,the beginning of an adventure
冒険,冒険の〜,冒険の物語,an adventure tale
冒険,冒険に〜,冒険に出る,to set off on an adventure
冒険,冒険に〜,冒険に出かける,to go out on an adventure
冒険,冒険に〜,冒険に行く,to go on an adventure
記念日,記念日に〜,記念日にする,"to make into a holiday, to make into a commemorative day"
記念日,記念日に〜,記念日になる,"to become a holiday, to become a commemorative day"
記念日,記念日に〜,記念日に出かける,"to go out on one's anniversary, to go out on a commemorative day"
記念日,〜の記念日,二人の記念日,the pair's anniversary
記念日,〜の記念日,カップルの記念日,a couple's anniversary
記念日,〜の記念日,日本の記念日,Japanese holidays
記念日,記念日の〜,記念日のデート,anniversary date
記念日,記念日の〜,記念日のプレゼント,anniversary present
記念日,記念日の〜,記念日の写真,anniversary photo
品,〜品,食料品,"foodstuffs, provisions"
品,〜品,高級品,a high-class item
品,〜品,ブランド品,a brand-name item
品,品〜,品出し,"shelf stocking, a stock person"
品,品〜,品切れ,out of stock
品,品〜,品不足,shortage of goods
品,品を〜,品をおくる,to give an item to someone 
品,品を〜,品をいただく,to receive an item from someone
品,品を〜,品を選ぶ,to choose an item
品,〜の品,思い出の品,a memento
品,〜の品,注文の品,an ordered item
品,〜の品,お礼の品,a token of appreciation
芸術家,芸術家に〜,芸術家になる,to become an artist
芸術家,芸術家に〜,芸術家にもらう,to receive from an artist
芸術家,芸術家に〜,芸術家に会う,to meet an artist
芸術家,芸術家が〜,芸術家が作る,the artist makes something
芸術家,芸術家が〜,芸術家が手がける,the artist works on something
芸術家,芸術家が〜,芸術家が多い,there are many artists
芸術家,芸術家の〜,芸術家のアート,an artist's art
芸術家,芸術家の〜,芸術家の絵,an artist's drawing
芸術家,芸術家の〜,芸術家の作品,an artist's work
自動的,自動的に〜,自動的にできる,"to be done automatically, to be made automatically"
自動的,自動的に〜,自動的に開く,to open automatically
自動的,自動的に〜,自動的に入力する,to be inputted automatically
自動的,自動的〜,自動的システム,automatic system
自動的,自動的〜,自動的出動,automatic dispatch
自動的,自動的〜,自動的出力,automatic output
自動的,自動的な〜,自動的なログアウト,automatic logout
自動的,自動的な〜,自動的なシステム,automatic system
自動的,自動的な〜,自動的な作業,"automatic task, automatic process"
自動的,自動的な〜,自動的な返答,automatic response
自動車,自動車に〜,自動車に乗る,"to take a car, to ride in a car"
自動車,自動車に〜,自動車にある,to be in a car
