vocab,pattern_name,english,japanese
地上,地上に〜,地上に出る,to go above ground
地上,地上に〜,地上に生まれる,to be born on earth
地上,地上に〜,地上にもどる,to return above ground
住所,住所を〜,住所をかく,to write an address
住所,住所を〜,住所を教える,to give an address
住所,住所を〜,住所を入力する,to enter an address
住所,〜の住所,今の住所,current address
住所,〜の住所,自分の住所,one's own address
住所,〜の住所,前の住所,previous address
助言,助言を〜,助言を行う,to provide advice
助言,助言を〜,助言をする,to give advice
助言,助言を〜,助言をうける,to receive advice
全米,全米〜,全米オープン,the US Open (tennis)
全米,全米〜,全米ヒットチャート,all-American hit chart
全米,全米〜,全米No.1,number one in America
思い出,〜の思い出,夏休みの思い出,memories of summer vacation
思い出,〜の思い出,たくさんの思い出,many memories
思い出,〜の思い出,一生の思い出,something one will remember all one’s life
思い出,思い出を〜,思い出を作る,to make memories
思い出,思い出を〜,思い出をのこす,to leave a lasting memory
思い出,思い出を〜,思い出をくれる,to receive a memory
思い出,〜思い出,楽しい思い出,happy memory
思い出,〜思い出,いい思い出,good memory
思い出,〜思い出,なつかしい思い出,nostalgic memory
〜間,〜間,一時間,one hour
〜間,〜間,二年間,two year interval
〜間,〜間,三分間,three minute interval
他所,他所の〜,他所の家,another house
他所,他所の〜,他所の人,"person from another place, an outsider"
他所,他所の〜,他所のこと,about another place
答え,答えが〜,答えが分かる,to know the answer
答え,答えが〜,答えが出る,to get an answer
答え,答えが〜,答えが見つかる,to find the answer
答え,答えを〜,答えを出す,to give an answer
答え,答えを〜,答えを見つける,to find the answer
答え,答えを〜,答えを知る,to know the answer
辺り,〜辺り,その辺り,that area
辺り,〜辺り,この辺り,around here
辺り,〜辺り,どの辺り,What area?
辺り,辺りを〜,辺りを見回す,to look around the area
辺り,辺りを〜,辺りを歩く,to walk around the area
辺り,辺りを〜,辺りを見る,to look around the area
辺り,辺りの〜,辺りの人,the people in the area
辺り,辺りの〜,辺りの山,the mountain in the area
辺り,辺りの〜,辺りの音,the sound in the area
作者,作者の〜,作者の思い,the author's thoughts
作者,作者の〜,作者のページ,the author's page
作者,作者の〜,作者のメッセージ,author's message
作者,作者が〜,作者がえらぶ,the author chooses
作者,作者が〜,作者が言う,the author says
作者,作者が〜,作者が亡くなる,the author passes away
電池,電池を〜,電池を入れる,to insert a battery
電池,電池を〜,電池を買う,to buy a battery
電池,電池を〜,電池をつかう,to use a battery
電池,〜電池,アルカリ電池,alkaline battery
電池,〜電池,リチウム電池,lithium battery
電池,〜電池,ボタン電池,a button cell battery
電池,電池〜,電池メーカー,battery maker
電池,電池〜,電池パック,battery pack
電池,電池〜,電池ボックス,battery box
身,〜の身,とらわれの身,captive
身,〜の身,自分の身,one's own body
身,〜の身,自由の身,free person
身,身に〜,身につく,to master
身,身に〜,身にしみる,to feel deeply
身,身に〜,身につける,"to wear, to acquire knowledge"
心身,心身を〜,心身をリラックスする,to relax one's mind and body
心身,心身を〜,心身をリフレッシュする,to refresh one's mind and body
心身,心身を〜,心身を休める,to rest one's mind and body
心身,心身の〜,心身のつかれ,mental and physical fatigue
心身,心身の〜,心身のストレス,mental and physical stress
心身,心身の〜,心身のバランス,mental and physical balance
両者,両者の〜,両者のバランス,the balance between the two
両者,両者の〜,両者の間,between the two
両者,両者の〜,両者の言い分,the claims of the two people
両者,両者を〜,両者をならべる,"to line up the two people, to compare the two people"
両者,両者を〜,両者を見る,to look at both people
両者,両者を〜,両者をつなぐ,to link the two people
〜君,〜君,たかし君,Takashi-kun
〜君,〜君,山田君,Yamada-kun
〜君,〜君,マイケル君,Michael-kun
支店,支店〜,支店長,branch manager
支店,支店〜,支店内,in the branch office
支店,支店〜,支店名,branch office name
支店,〜支店,地方の支店,regional branch offices
支店,〜支店,インターネット支店,Internet branch store
支店,〜支店,海外支店,overseas branch office
支店,支店の〜,支店の住所,branch office's address
支店,支店の〜,支店の近く,near the branch office
支店,支店の〜,支店の場所,branch office's location
支店,支店に〜,支店にいる,to be in the branch office
支店,支店に〜,支店にある,to be at the branch office
支店,支店に〜,支店に行く,to go to the branch office
支局,〜支局,海外支局,overseas branch office
支局,〜支局,地方支局,regional branch office
支局,〜支局,国内支局,domestic branch office
支局,支局に〜,支局に行く,to go to the branch office
支局,支局に〜,支局にある,to be at the branch office
支局,支局に〜,支局にもどる,to return to the branch office
朝ごはん,朝ごはんを〜,朝ごはんを作る,to make breakfast
朝ごはん,朝ごはんを〜,朝ごはんを食べる,to eat breakfast
朝ごはん,朝ごはんを〜,朝ごはんをぬく,to skip out on breakfast
局,〜局,他局,other bureau
局,〜局,ラジオ局,radio station
局,〜局,テレビ局,TV station
でも,でも〜,でも、はずかしい,but it's embarrassing
でも,でも〜,でも、やってみる,but I'll give it a try
でも,でも〜,でも、高い,but it's expensive
雲,雲が〜,雲が出てくる,clouds emerge
雲,雲が〜,雲が広がる,the clouds spread
雲,雲が〜,雲がかかる,clouds cover something
雲,雲の〜,雲の下,underneath the clouds
雲,雲の〜,雲の間,in between clouds
雲,雲の〜,雲の形,cloud shape
楽,楽を〜,楽をする,to live in comfort
楽,楽を〜,楽をおぼえる,to experience comfort
楽,〜が楽,気が楽,feel at ease
楽,〜が楽,しごとが楽,work is easy
楽,〜が楽,体が楽,body is at ease
楽,楽に〜,楽になる,"to become comfortable, to feel relief"
