vocab,pattern_name,english,japanese
飲み放題,飲み放題〜,飲み放題９９０円,all you can drink for 990 yen
飲み放題,飲み放題〜,飲み放題キャンペーン,all you can drink campaign
飲み放題,飲み放題〜,飲み放題食べ放題,all you can drink and eat
飲み放題,〜飲み放題,コーヒー飲み放題,all the coffee you can drink
飲み放題,〜飲み放題,アルコール飲み放題,all the alcohol you can drink
飲み放題,〜飲み放題,６０分飲み放題,60-minute all you can drink
食べ放題,〜食べ放題,デザート食べ放題,all you can eat dessert
食べ放題,〜食べ放題,やき肉食べ放題,all you can eat grilled meat
食べ放題,〜食べ放題,おすし食べ放題,all you can eat sushi
食べ放題,食べ放題〜,食べ放題飲み放題,all you can eat and drink
食べ放題,食べ放題〜,食べ放題キャンペーン,all you can eat campaign
食べ放題,食べ放題〜,食べ放題１９９０円,all you can eat for 1990 yen
変人,変人〜,変人ぞろい,a group of eccentrics
変人,変人〜,変人ぶり,acting eccentric
変人,変人〜,変人あつかい,treating someone like a weirdo
変人,変人と〜,変人と言われる,to be called an eccentric
変人,変人と〜,変人とよばれる,to be called an eccentric
変人,変人と〜,変人と思われる,to be thought of as an eccentric
お願い,お願いが〜,お願いがかなう,one's request is granted
お願い,お願いが〜,お願いができる,"can request, to form a request"
お願い,お願いが〜,お願いがある,to have a request
お願い,〜なお願い,勝手なお願い,a selfish request
お願い,〜なお願い,わがままなお願い,a selfish request
お願い,〜なお願い,失礼なお願い,a rude request
お願い,お願いに〜,お願いに来る,to come to request something
お願い,お願いに〜,お願いに行く,to go to request something
お願い,お願いに〜,お願いに上がる,to go to request something
お願い,お願いを〜,お願いをする,to make a request
お願い,お願いを〜,お願いをかなえる,to grant a request
お願い,お願いを〜,お願いを聞く,to hear a request
お願い,〜のお願い,一生のお願い,"a request of a lifetime, an extremely important request"
お願い,〜のお願い,最後のお願い,last request
お願い,〜のお願い,アンケートのお願い,to request a survey
軍,軍の〜,軍の力,military power
軍,軍の〜,軍の作戦,army's strategy
軍,軍の〜,軍の命令,a military order
軍,軍を〜,軍を持つ,to have an army
軍,軍を〜,軍を動かす,"to mobilize troops, to mobilize the army"
軍,軍を〜,軍を進める,to advance troops
軍,軍が〜,軍が使用する,the army utilizes
軍,軍が〜,軍がいる,the army is there
軍,軍が〜,軍が行う,the army carries out
軍,〜軍,一軍,one army
軍,〜軍,両軍,both armies
軍,〜軍,全軍,the whole army
芸術,芸術を〜,芸術を楽しむ,to enjoy art
芸術,芸術を〜,芸術を学ぶ,to study the arts
芸術,芸術を〜,芸術を生み出す,to produce art
芸術,芸術の〜,芸術の力,artistic ability
芸術,芸術の〜,芸術の世界,the art world
芸術,芸術の〜,芸術の道,artistic career path
芸術,芸術〜,芸術的,artistic
芸術,芸術〜,芸術活動,artistic activity
芸術,芸術〜,芸術文化,arts and culture
秋,〜の秋,去年の秋,last year's autumn
秋,〜の秋,今年の秋,this year's autumn
秋,〜の秋,昨年の秋,last year's autumn
秋,秋に〜,秋に行う,to carry out in the autumn
秋,秋に〜,秋にする,"to have something be during autumn, to choose autumn"
秋,秋に〜,秋になる,to become autumn
秋,秋の〜,秋のもみじ,a Japanese maple tree in the fall
秋,秋の〜,秋の夜,an autumn night
秋,秋の〜,秋の気配,a hint of autumn
比例,比例〜,比例代表,proportional representation (politics)
比例,比例〜,比例関係,proportional relation
比例,比例〜,比例配分,proportional distribution
比例,〜比例,人口比例,proportional to the population
比例,〜比例,時間比例,proportional to time
比例,〜比例,所得比例,proportional to income
比例,〜比例,正比例,direct proportion
比例,〜比例,反比例,inverse proportion
比例,〜に比例する,y の大きさに比例する,to be proportional to the size of y
比例,〜に比例する,量に比例する,to be proportional to the quantity
比例,〜に比例する,二乗に比例する,to be proportional to the square of something
比例,〜に比例する,時間に比例する,to be proportional to time
上司,上司が〜,上司がくれる,the boss gives
上司,上司が〜,上司が言う,the boss says
上司,上司が〜,上司がする,the boss does
上司,〜の上司,会社の上司,one's superior at a company
上司,〜の上司,当時の上司,one's superior at the time
上司,〜の上司,自分の上司,one's superior
上司,上司に〜,上司に相談する,to consult with one's superior
上司,上司に〜,上司に伝える,to convey to one's superior
上司,上司に〜,上司に言う,to say to one's superior
