vocab,pattern_name,english,japanese
能力,能力を〜,能力を養う,to cultivate one's ability
能力,能力を〜,能力を持つ,to have ability
能力,能力を〜,能力を高める,to increase one's ability
能力,能力が〜,能力が高い,to have considerable ability
能力,能力が〜,能力がある,to have ability
能力,能力が〜,能力がない,to not have ability
能力,〜能力,運動能力,athletic ability
能力,〜能力,コミュニケーション能力,communication skills
能力,〜能力,日本語能力,Japanese ability
約,約〜,約三時間,about three hours
約,約〜,約半分,about half
約,約〜,約五十人,about fifty people
知り合い,知り合いに〜,知り合いになる,to make someone's acquaintance
知り合い,知り合いに〜,知り合いに聞く,to ask an acquaintance
知り合い,知り合いに〜,知り合いにもらう,to receive from an acquaintance
知り合い,知り合いの〜,知り合いの人,an acquaintance
知り合い,知り合いの〜,知り合いの家,an acquaintance's home
知り合い,知り合いの〜,知り合いの会社,an acquaintance's company
知り合い,知り合いが〜,知り合いがいる,"to have an acquaintance, there is an acquaintance"
知り合い,知り合いが〜,知り合いができる,to make a new acquaintance
知り合い,知り合いが〜,知り合いが来る,an acquaintance comes
〜的,〜的,家庭的,familial
〜的,〜的,日本的,"typical of Japan, Japan-like"
〜的,〜的,最終的,final
周年,周年〜,周年パーティー,anniversary party
周年,周年〜,周年事業,"anniversary-related activities (business events, promotions, campaigns)"
周年,周年〜,周年イベント,anniversary event
周年,〜周年,一周年,first anniversary
周年,〜周年,百周年,hundredth anniversary
周年,〜周年,十周年,tenth anniversary
協会,〜協会,銀行協会,bankers association
協会,〜協会,サッカー協会,soccer association
協会,〜協会,体育協会,"athletic association, Amateur Sports Association"
協会,協会の〜,協会のホームページ,an association's home page
協会,協会の〜,協会の活動,an association's activities
協会,協会の〜,協会の会員,members of an association
雰囲気,雰囲気を〜,雰囲気を作り出す,to create an atmosphere
雰囲気,雰囲気を〜,雰囲気を感じる,to sense an atmosphere
雰囲気,雰囲気を〜,雰囲気を持つ,to have an atmosphere
雰囲気,雰囲気が〜,雰囲気がちがう,to have a different atmosphere
雰囲気,雰囲気が〜,雰囲気がある,to have atmosphere
雰囲気,雰囲気が〜,雰囲気が良い,to have a good atmosphere
雰囲気,〜の雰囲気,場の雰囲気,a place's atmosphere
雰囲気,〜の雰囲気,家の雰囲気,home's atmosphere
雰囲気,〜の雰囲気,店の雰囲気,a shop's atmosphere
雰囲気,〜な雰囲気,おしゃれな雰囲気,stylish atmosphere
雰囲気,〜な雰囲気,レトロな雰囲気,retro atmosphere
雰囲気,〜な雰囲気,自由な雰囲気,atmosphere of freedom
自動,自動で〜,自動で開く,to open automatically
自動,自動で〜,自動で行う,to carry out automatically
自動,自動で〜,自動で入力する,to input automatically
自動,自動〜,自動的,automatic
自動,自動〜,自動ドア,automatic door
自動,自動〜,自動化,automation
気持ち悪い,〜は気持ち悪い,虫は気持ち悪い,bugs are gross
気持ち悪い,〜は気持ち悪い,ヘビは気持ち悪い,snakes are creepy
気持ち悪い,〜は気持ち悪い,これは気持ち悪い,"this is gross, this is unpleasant"
気持ち悪い,〜が気持ち悪い,言い方が気持ち悪い,the manner of speech is creepy
気持ち悪い,〜が気持ち悪い,形が気持ち悪い,the shape is repulsive
気持ち悪い,〜が気持ち悪い,口の中が気持ち悪い,the inside of one's mouth feels unpleasant
悪口,悪口を〜,悪口を言い合う,to bad-mouth one another
悪口,悪口を〜,悪口を言う,to bad-mouth someone
悪口,悪口を〜,悪口を言いふらす,to spread bad rumors
骨,〜の骨,魚の骨,fish bones
骨,〜の骨,首の骨,bones of the neck
骨,〜の骨,あごの骨,jawbone
骨,骨を〜,骨をけずる,"to carve bone, to scrape bone"
骨,骨を〜,骨を折る,to break a bone
骨,骨を〜,骨を作る,to make bone
骨折,骨折を〜,骨折をともなう,to be accompanied by a fracture
骨折,骨折を〜,骨折を起こす,to get a broken bone
骨折,骨折を〜,骨折をする,to fracture a bone
骨折,〜の骨折,足の骨折,"broken leg, broken foot"
骨折,〜の骨折,手首の骨折,broken wrist
骨折,〜の骨折,指の骨折,broken finger
束,束を〜,束を作る,to make a bundle
束,束を〜,束を持つ,to hold a bundle
束,束を〜,束をかかえる,to carry a bundle
束,〜の束,手紙の束,a bundle of letters
束,〜の束,新聞の束,a bundle of newpapers
束,〜の束,紙の束,a bundle of paper
束,束に〜,束にする,to make into a bundle
束,束に〜,束にまとめる,to gather into a bundle
束,束に〜,束になる,to form a bundle
世話,世話が〜,世話ができる,can take care of
世話,世話が〜,世話がいる,"to need care, to need assistance"
世話,世話が〜,世話がかかる,"to depend on care, to be troublesome"
世話,世話が〜,世話がやける,"to depend on care, to be troublesome"
世話,世話を〜,世話をする,to take care of
