vocab,pattern_name,english,japanese
感心,感心〜,感心できる,"can be impressed by something, can be impressed by someone"
感心,感心〜,感心いたします,"to be impressed by something, to be impressed by someone (humble)"
感心,感心〜,感心しない,to not think highly of something
感心,感心を〜,感心をする,"to be impressed by something, to be impressed by someone"
感心,感心を〜,感心を高める,"to increase someone's esteem for something, to increase someone's esteem for someone"
入館料,入館料が〜,入館料がかかる,there is an admission fee
入館料,入館料が〜,入館料がある,there is an admission fee
入館料,入館料が〜,入館料が要る,need to pay an admission fee
入館料,入館料を〜,入館料をわたす,to hand over the admission fee
入館料,入館料を〜,入館料を出す,to pay an admission fee
入館料,入館料を〜,入館料をはらう,to pay an admission fee
養子,養子と〜,養子となる,to become an adopted child
養子,養子と〜,養子とする,to do together with one's adoptee
養子,養子と〜,養子と話し合う,to discuss with one's adoptee
養子,養子に〜,養子にする,to make someone one's adopted child
養子,養子に〜,養子になる,to be adopted
養子,養子に〜,養子に出る,to be adopted into another family
マンション,〜マンション,中古マンション,a pre-owned apartment
マンション,〜マンション,ウイークリーマンション,an apartment rented by the week
マンション,〜マンション,ワンルームマンション,a studio apartment
マンション,マンションの〜,マンションの部屋,a room in an apartment
マンション,マンションの〜,マンションのベランダ,an apartment balcony
マンション,マンションの〜,マンションの二階,the second floor of an apartment building
マンション,マンションの〜,マンションの一室,"an apartment, a room in an apartment"
マンション,マンション〜,マンションぐらし,living in an apartment
マンション,マンション〜,マンションタイプ,type of apartment
マンション,マンション〜,マンション生活,apartment life
マンション,マンション〜,マンション住まい,living in an apartment
マンション,マンションを〜,マンションを出る,to leave one’s apartment
マンション,マンションを〜,マンションを買う,to buy an apartment
マンション,マンションを〜,マンションをさがす,to look for an apartment
マンション,マンションに〜,マンションに引っこす,to move into an apartment
マンション,マンションに〜,マンションにある,to be in an apartment
マンション,マンションに〜,マンションに住む,to live in an apartment
マンション,マンションに〜,マンションにいる,to be in an apartment
マンション,〜のマンション,うちのマンション,my apartment
マンション,〜のマンション,今のマンション,one's current apartment building
マンション,〜のマンション,近くのマンション,a nearby apartment building
マンション,〜のマンション,自分のマンション,my apartment
整理,整理を〜,整理を行う,to organize
整理,整理を〜,整理をつける,"to put in order, to come to terms with"
整理,整理を〜,整理をする,"to sort something out, to organize something"
整理,整理が〜,整理ができる,"can organize, can sort out"
整理,整理が〜,整理が進む,to make progress in sorting something out
整理,整理が〜,整理がつく,"to have been put in order, to have come to terms with"
整理,〜の整理,気持ちの整理,organizing one's feelings
整理,〜の整理,心の整理,putting one's emotions in order
整理,〜の整理,頭の整理,organizing one's thoughts
〜放題,〜放題,飲み放題,all-you-can-drink
〜放題,〜放題,歌い放題,all-you-can-sing (karaoke)
〜放題,〜放題,食べ放題,all-you-can-eat
暗殺,暗殺〜,暗殺成功,successful assassination
暗殺,暗殺〜,暗殺者,assassin
暗殺,暗殺〜,暗殺作戦,assassination plan
暗殺,暗殺を〜,暗殺をする,to assassinate
暗殺,暗殺を〜,暗殺を行う,to carry out an assassination
暗殺,暗殺を〜,暗殺を命じる,to order an assassination
想定,想定〜,想定通り,just as expected
想定,想定〜,想定外,beyond expectation
想定,想定〜,想定内,within expectations
想定,想定を〜,想定を上回る,to surpass expectations
想定,想定を〜,想定を見直す,to reassess one's assumptions
想定,想定を〜,想定を下回る,to fall below expectations
初めに,初めに〜,初めにあいさつをする,to greet at the beginning
初めに,初めに〜,初めにする,to do in the beginning
初めに,初めに〜,初めに言う,to say in the beginning
初めに,〜初めに,では初めに,and so to begin
初めに,〜初めに,一番初めに,right at the beginning
