vocab,pattern_name,english,japanese
行動,行動を〜,行動を行う,to perform an action
行動,行動を〜,行動をする,"to act, to behave"
行動,行動を〜,行動をとる,to take action
行動,行動〜,行動心理,behavioral psychology
行動,行動〜,行動力,energy
行動,行動〜,行動パターン,behavioral pattern
行動,〜の行動,自分の行動,one's own behavior
行動,〜の行動,人の行動,people's behavior
行動,〜の行動,人間の行動,human behavior
活動,活動の〜,活動の場,place of action
活動,活動の〜,活動の一つ,one of the activities
活動,活動の〜,活動の中心,"the focus of activity, the central element of one's activities"
活動,活動を〜,活動を行う,to carry out activities
活動,活動を〜,活動をつづける,to continue activities
活動,活動を〜,活動をする,to do activities
空港,空港に〜,空港にいる,to be at the airport
空港,空港に〜,空港につく,to arrive at the airport
空港,空港に〜,空港に行く,to go to the airport
空港,〜空港,成田空港,Narita Airport
空港,〜空港,羽田空港,Haneda Airport
空港,〜空港,ハブ空港,hub airport
空港,空港〜,空港ラウンジ,airport lounge
空港,空港〜,空港ターミナル,airport terminal
空港,空港〜,空港バス,airport bus
空港,空港の〜,空港のカウンター,airport counter
空港,空港の〜,空港の近く,near the airport
空港,空港の〜,空港の外,outside of the airport
全員,全員が〜,全員がいる,everyone is present
全員,全員が〜,全員ができる,all members can do
全員,全員が〜,全員がする,all members do
全員,全員の〜,全員の名前,everyone's names
全員,全員の〜,全員の前,in front of everyone
全員,全員の〜,全員の意見,everyone's opinion
全員,全員〜,全員おそろい,everyone matches
全員,全員〜,全員同じ,everyone's the same
全員,全員〜,全員元気,everybody's in good health
全員,全員に〜,全員にプレゼントする,to give a present to everyone
全員,全員に〜,全員にもらう,to receive from everyone
全員,全員に〜,全員に伝える,to tell everyone
全員,全員で〜,全員で行う,to carry out with all members
全員,全員で〜,全員でする,to do all together
全員,全員で〜,全員で考える,everyone thinks together
全員,〜全員,家族全員,whole family
全員,〜全員,スタッフ全員,all staff
全員,〜全員,メンバー全員,all members
もう,もう〜,もう終わる,to end soon
もう,もう〜,もう見た,already watched something
もう,もう〜,もうやめる,to quit soon
もう,もう〜,もう来ない,won't come anymore
もう,もう〜,もうムリ,can't do it anymore
動物,動物の〜,動物の行動,animal behavior
動物,動物の〜,動物の死体,body of a dead animal
動物,動物の〜,動物の命,an animal's life
動物,〜動物,実験動物,experimental animal
動物,〜動物,草食動物,herbivorous animal
動物,〜動物,肉食動物,carnivorous animal
動物,動物を〜,動物を用いる,to use animals
動物,動物を〜,動物を見る,to see an animal
動物,動物を〜,動物を使う,to use animals
動物,動物〜,動物実験,experiments on animals
動物,動物〜,動物病院,veterinary hospital
動物,動物〜,動物たち,animals
鳴き声,〜の鳴き声,鳥の鳴き声,birdsong
鳴き声,〜の鳴き声,犬の鳴き声,dog's barking
鳴き声,〜の鳴き声,セミの鳴き声,cicada's chirping
鳴き声,鳴き声が〜,鳴き声が聞こえる,to hear an animal cry
鳴き声,鳴き声が〜,鳴き声がひびく,the animal cry echoes
鳴き声,鳴き声が〜,鳴き声がする,to hear an animal cry
勝手,勝手な〜,勝手な事,something done without due consideration
勝手,勝手な〜,勝手な人,a selfish person
勝手,勝手な〜,勝手な思いこみ,a groundless assumption
勝手,勝手に〜,勝手にしまう,to put away without permission
勝手,勝手に〜,勝手にする,to do as one pleases
勝手,勝手に〜,勝手にやる,to do as one pleases
