vocab,pattern_name,english,japanese
他人,他人に〜,他人にバレる,to be revealed to other people
他人,他人に〜,他人に分かる,to be understood by others
他人,他人に〜,他人に見せる,to show other people
他人,他人を〜,他人をキズつける,to hurt others
他人,他人を〜,他人をかえる,to change another person
他人,他人を〜,他人を見る,to look at other people
他人,他人の〜,他人の心,other people's minds
他人,他人の〜,他人の目,other people's eyes
他人,他人の〜,他人の人生,other people's lives
早々,早々と〜,早々とかえる,to go home early
早々,早々と〜,早々とねる,to sleep early
早々,早々と〜,早々と引き上げる,to withdraw quickly
早々,早々に〜,早々に引き上げる,to make a hasty departure
早々,早々に〜,早々に切り上げる,"to call something quits early, to end something abruptly"
早々,早々に〜,早々にあきらめる,to give up early
大気,大気に〜,大気にふくまれる,to be contained in the atmosphere
大気,大気に〜,大気にとけこむ,to blend into the atmosphere
赤ちゃん,赤ちゃんが〜,赤ちゃんがいる,"to have a baby, there's a baby"
赤ちゃん,赤ちゃんが〜,赤ちゃんが生まれる,a baby is born
赤ちゃん,赤ちゃんが〜,赤ちゃんができる,to expect a baby
赤ちゃん,赤ちゃんの〜,赤ちゃんの足,baby's feet
赤ちゃん,赤ちゃんの〜,赤ちゃんのミルク,baby formula
赤ちゃん,赤ちゃんの〜,赤ちゃんのおむつ,diapers for babies
赤ちゃん,〜の赤ちゃん,おなかの赤ちゃん,a baby in one's belly
赤ちゃん,〜の赤ちゃん,生まれたての赤ちゃん,a newborn baby
赤ちゃん,〜の赤ちゃん,カンガルーの赤ちゃん,a baby kangaroo
赤ちゃん,赤ちゃんに〜,赤ちゃんにあげる,to give something to a baby
赤ちゃん,赤ちゃんに〜,赤ちゃんに見せる,to show something to a baby
赤ちゃん,赤ちゃんに〜,赤ちゃんにプレゼントする,to give a gift to a baby
赤ちゃん,赤ちゃんは〜,赤ちゃんは大人しい,babies are quiet
赤ちゃん,赤ちゃんは〜,赤ちゃんはかわいい,babies are cute
赤ちゃん,赤ちゃんは〜,赤ちゃんは小さい,babies are small
赤ちゃん,赤ちゃんを〜,赤ちゃんを見せる,to show someone a baby
赤ちゃん,赤ちゃんを〜,赤ちゃんをだっこする,to hold a baby in one's arms
赤ちゃん,赤ちゃんを〜,赤ちゃんを見る,to see a baby
竹,竹〜,竹ぼうき,a bamboo broom
竹,竹〜,竹とんぼ,a bamboo-copter (a flying wooden toy)
竹,竹〜,竹やぶ,a bamboo grove
竹,竹の〜,竹のかわ,bamboo skin
竹,竹の〜,竹のかおり,the scent of bamboo
竹,竹の〜,竹の花,bamboo flowers
竹,竹を〜,竹をつかう,to use bamboo
竹,竹を〜,竹を切る,to cut bamboo
竹,竹を〜,竹を用いる,to utilize bamboo
竹の子,竹の子の〜,竹の子の天ぷら,bamboo shoot tempura
竹の子,竹の子の〜,竹の子の先,bamboo shoot tips
竹の子,竹の子の〜,竹の子のスープ,bamboo shoot soup
竹の子,竹の子〜,竹の子ほり,digging for bamboo shoots
竹の子,竹の子〜,竹の子ごはん,rice with bamboo shoots
竹の子,竹の子〜,竹の子スパゲッティ,spaghetti with bamboo shoots
少年,少年を〜,少年をサポートする,to support a boy
少年,少年を〜,少年を見る,to look at a boy
少年,少年を〜,少年をたすける,to help a boy
少年,少年と〜,少年とはなす,to talk with a boy
少年,少年と〜,少年とバトルする,to battle with a boy
少年,少年と〜,少年となる,to become a boy
少年,少年に〜,少年になる,to become a boy
少年,少年に〜,少年に分かる,to be understandable for the boy
少年,少年に〜,少年にあげる,to give something to the boy
少年,少年の〜,少年のすがた,the figure of a boy
少年,少年の〜,少年の目,the boy's eyes
少年,少年の〜,少年の心,"a boy's mind, a boy's heart"
少年,少年〜,少年マンガ,manga for boys
