vocab,pattern_name,english,japanese
以後,以後も〜,以後もつづける,will also continue something from now on
以後,以後も〜,以後もつづく,will also continue from now on
以後,以後も〜,以後もかわらない,won't change from now on either
以後,以後〜,以後毎回,every time after this
以後,以後〜,以後毎月,every month after this
以後,以後〜,以後毎年,every year thereafter
この辺,この辺の〜,この辺のはなし,"this area of the conversation, story of this area"
この辺,この辺の〜,この辺のコンビニ,convenience stores in this area
この辺,この辺の〜,この辺の川,the river in this area
この辺,この辺で〜,この辺で休む,to rest in this area
この辺,この辺で〜,この辺でやめる,to stop around here
この辺,この辺で〜,この辺で食べる,to eat in this area
先回り,先回りを〜,先回りを心がける,to try to arrive ahead
先回り,先回りを〜,先回りをする,"to anticipate, to arrive at a destination before another"
先回り,先回りを〜,先回りをされる,to have someone arrive before
風船,風船を〜,風船をふくらます,to inflate a balloon
風船,風船を〜,風船をわる,to pop a balloon
風船,風船を〜,風船をとばす,to fly a balloon
風船,風船が〜,風船がしぼむ,the balloon deflates
風船,風船が〜,風船がふくらむ,the balloon inflates
風船,風船が〜,風船がわれる,the balloon bursts
風船,風船〜,風船みたい,like a balloon
風船,風船〜,風船ガム,bubblegum
風船,風船〜,風船アート,balloon art
〜札,〜札,千円札,1000 yen bill
〜札,〜札,百ドル札,100 dollar bill
〜札,〜札,一万円札,10000 yen bill
鳥,鳥が〜,鳥がいる,there is a bird
鳥,鳥が〜,鳥がなく,the bird cries
鳥,鳥が〜,鳥が来る,a bird comes
鳥,鳥〜,鳥さん,bird
鳥,鳥〜,鳥インフルエンザ,bird flu
鳥,鳥〜,鳥たち,birds
鳥,鳥の〜,鳥の声,the cry of a bird
鳥,鳥の〜,鳥のフン,bird poop
鳥,鳥の〜,鳥のさえずり,bird's chirping
黒い,黒い〜,黒いもの,black thing
黒い,黒い〜,黒い色,black color
黒い,黒い〜,黒い雨,"black rain, rain following a nuclear explosion"
黒い,〜が黒い,水が黒い,water is black
黒い,〜が黒い,色が黒い,color is black
黒い,〜が黒い,目が黒い,eyes are black
黒人,黒人〜,黒人社会,Black society
黒人,黒人〜,黒人アーティスト,Black artist
黒人,黒人〜,黒人文化,Black Culture
黒人,黒人の〜,黒人の少女,Black girl
黒人,黒人の〜,黒人の人,Black person
黒人,黒人の〜,黒人の少年,Black boy
青空,青空が〜,青空が見える,to be able to see blue sky
青空,青空が〜,青空がのぞく,the blue sky peeks through
青空,青空が〜,青空が広がる,blue sky spreads out
青空,青空の〜,青空の色,the color of blue sky
青空,青空の〜,青空のイラスト,an illustration of blue sky
青空,青空の〜,青空の下,underneath the blue sky
船,船を〜,船を見る,to look at a boat
船,船を〜,船を出す,to put out a boat
船,船を〜,船を作る,to build a boat
船,船の〜,船の形,boat shape
船,船の〜,船のエンジン,boat engine
船,船の〜,船の安全,safety of the boat
船,船が〜,船がいる,to need a boat
船,船が〜,船が出る,the boat leaves
船,船が〜,船がある,there is a boat
船,お船,お船,boat
船,船に〜,船に上がる,to get onto the boat
船,船に〜,船にある,to be on the boat
船,船に〜,船に付ける,to attach to the boat
教室,〜教室,ピアノ教室,"piano school, piano lessons"
教室,〜教室,パソコン教室,computer classroom
教室,〜教室,ヨガ教室,"yoga studio, yoga class"
教室,教室に〜,教室にいる,to be in the classroom
教室,教室に〜,教室に入る,to enter the classroom
教室,教室に〜,教室に行く,to go to the classroom
教室,教室を〜,教室をオープンする,"to open a private school, to hold a class"
教室,教室を〜,教室を出る,to leave the classroom
教室,教室を〜,教室をする,"to teach a class, to run a classroom"
活用形,活用形を〜,活用形を学ぶ,to learn the conjugated form
活用形,活用形を〜,活用形を知る,to know the conjugated form
活用形,活用形を〜,活用形を教える,to teach the conjugated form
日記,日記を〜,日記をつける,to keep a diary
日記,日記を〜,日記を見る,to look at the diary
日記,日記を〜,日記をかく,to write a diary
日記,〜日記,ダイエット日記,diet diary
日記,〜日記,この日記,this diary
日記,〜日記,ウェブ日記,"web journal, blog"
〜丁目,〜丁目,三丁目,third district
〜丁目,〜丁目,二丁目,second district
〜丁目,〜丁目,一丁目,"block one, district one"
人形,お人形〜,お人形あそび,playing with dolls
人形,お人形〜,お人形たち,dolls
人形,お人形〜,お人形さん,doll
人形,〜人形,からくり人形,mechanical doll
人形,〜人形,五月人形,dolls for the Boys’ Festival in May
人形,〜人形,あやつり人形,puppet
人形,人形〜,人形えらび,choosing dolls
人形,人形〜,人形みたい,like a doll
人形,人形〜,人形たち,dolls
人形,人形を〜,人形を見る,to look at a doll
人形,人形を〜,人形を作る,to make a doll
人形,人形を〜,人形をつかう,to use a doll
小学生,小学生に〜,小学生に教える,to teach elementary school students
小学生,小学生に〜,小学生になる,to become an elementary school student
小学生,小学生に〜,小学生に分かる,understandable to elementary school students
小学生,小学生が〜,小学生がする,the elementary school students do something
小学生,小学生が〜,小学生がいる,there are elementary school students
小学生,小学生が〜,小学生が出来る,can be done by elementary school students
小学生,小学生の〜,小学生のむすめ,elementary school aged daughter
小学生,小学生の〜,小学生のお子さん,child of elementary school age
小学生,小学生の〜,小学生の女の子,elementary school girl
小学生,小学生〜,小学生レベル,elementary school level
小学生,小学生〜,小学生以上,elementary school students and above
小学生,小学生〜,小学生以下,elementary school students and below
象,象を〜,象をなでる,to pet an elephant
象,象を〜,象を見る,to see an elephant
象,象〜,象たち,elephants
象,象〜,象さん,elephant
象,象の〜,象のキバ,elephant's tusks
象,象の〜,象の足,elephant's legs
象,象の〜,象のせなか,elephant's back
象,象の〜,象のハナ,elephant's trunk
月末,月末に〜,月末に行う,to carry out at the end of the month
月末,月末に〜,月末になる,to become the end of the month
月末,月末に〜,月末にする,to do at the end of the month
月末,月末の〜,月末の平日,weekdays at the end of the month
月末,月末の〜,月末のデータ,end-of-month data
月末,月末の〜,月末の休日,holiday at the end of the month
魚,魚の〜,魚のエサ,fish food
魚,魚の〜,魚のホネ,fishbones
魚,魚の〜,魚のウロコ,fish scale
魚,魚を〜,魚を食べる,to eat fish
魚,魚を〜,魚をとる,to catch a fish
魚,魚を〜,魚を見る,to look at fish
魚,魚が〜,魚がつれる,to be able to catch fish
魚,魚が〜,魚がいる,there are fish
魚,魚が〜,魚がとれる,to be able to catch fish
魚,お魚,お魚,fish
床,床を〜,床を作る,to make a floor
床,床を〜,床を見る,to look at the floor
床,床を〜,床をふく,to wipe the floor
床,〜の床,木の床,wooden floor
床,〜の床,コンクリートの床,concrete floor
床,〜の床,フローリングの床,wooden floor
床,床に〜,床にすわる,to sit on the floor
