vocab,pattern_name,english,japanese
学院,〜学院,音楽学院,music academy
学院,〜学院,文化学院,Bunka Gakuin (vocational school)
学院,〜学院,ソフトウェア学院,software academy
足し算,足し算を〜,足し算を学ぶ,to learn addition
足し算,足し算を〜,足し算を教える,to teach addition
足し算,足し算を〜,足し算をする,to do addition
進行,進行が〜,進行がストップする,the progress stops
進行,進行が〜,進行が進む,to progress
進行,進行が〜,進行が止まる,the progress stops
進行,進行〜,進行中,in progress
進行,進行〜,進行形,the progressive form
進行,進行〜,進行方向,direction of movement
進行,〜の進行,ゲームの進行,progress of the game
進行,〜の進行,ガンの進行,cancer progression
進行,〜の進行,病気の進行,disease progression
進行,進行を〜,進行を食い止める,to stave off progression
進行,進行を〜,進行を止める,to stop progression
進行,進行を〜,進行をする,to make an event progress
農業,農業を〜,農業を行う,to carry out farming
農業,農業を〜,農業をやる,to do farming
農業,農業を〜,農業をする,to do farming
ちょっと,ちょっと〜,ちょっとちがう,a little different
ちょっと,ちょっと〜,ちょっとむずかしい,a little difficult
ちょっと,ちょっと〜,ちょっと考える,to think a little
路地,路地を〜,路地を曲がる,to turn down the alley
路地,路地を〜,路地を歩く,to walk down the alley
路地,路地を〜,路地を入っていく,to go into an alley
路地,路地に〜,路地に入る,to enter an alley
路地,路地に〜,路地に立つ,to stand in the alley
路地,路地に〜,路地に出る,to reach the alley
高度,高度な〜,高度なテクニック,an advanced technique
高度,高度な〜,高度な研究,sophisticated research
高度,高度な〜,高度なスキル,a high-level skill
高度,高度〜,高度10000メートル,"altitude of 10,000 meters"
高度,高度〜,高度3万3000フィート,"altitude of 33,000 feet"
高度,高度を〜,高度を上げる,to elevate its altitude
高度,高度を〜,高度を下げる,to lower its altitude
高度,高度が〜,高度が上がる,altitude increases
高度,高度が〜,高度が下がる,altitude decreases
回答,回答〜,回答者,respondent
回答,回答〜,回答中,in the process of answering
回答,回答〜,回答数,number of responses
回答,回答を〜,回答を見る,to look at the reply
回答,回答を〜,回答をする,to answer
回答,回答を〜,回答をいただく,to receive an answer
回答,回答が〜,回答が来る,the response comes
回答,回答が〜,回答がある,there is a response
回答,回答が〜,回答が出る,the answer is shown
回答,〜の回答,他の回答,other answers
回答,〜の回答,No.5の回答,the answer to number five
回答,〜の回答,アンケートの回答,questionnaire response
回答,ご回答,ご回答,response
算数,算数を〜,算数をする,to do arithmetic
算数,算数を〜,算数を教える,to teach arithmetic
算数,算数を〜,算数を学ぶ,to learn arithmetic
算数,算数の〜,算数のテスト,arithmetic test
算数,算数の〜,算数の足し算,arithmetic addition
算数,算数の〜,算数のノート,arithmetic notes
助手,助手を〜,助手をつとめる,to work as an assistant
助手,助手を〜,助手を見る,to look at an assistant
助手,助手を〜,助手をする,to serve as an assistant
早速,早速〜,早速やる,to do right away
早速,早速〜,早速作る,to make right away
早速,早速〜,早速買う,to buy right away
心配,心配を〜,心配をかける,to make someone worry
心配,心配を〜,心配をしていない,to not be worrying
心配,心配を〜,心配をする,to worry
自転車,自転車で〜,自転車で出かける,to go out on a bicycle
自転車,自転車で〜,自転車で行く,to go on a bicycle
自転車,自転車で〜,自転車で走る,to ride a bicycle
自転車,自転車に〜,自転車にまたがる,to straddle a bicycle
自転車,自転車に〜,自転車に乗る,to ride on a bicycle
自転車,自転車に〜,自転車に乗れる,to be able to ride a bicycle
自転車,自転車を〜,自転車を買う,to buy a bicycle
自転車,自転車を〜,自転車を止める,to stop a bicycle
自転車,自転車を〜,自転車をこぐ,to pedal a bicycle
苦い,苦い〜,苦いコーヒー,bitter coffee
苦い,苦い〜,苦い思い出,bitter memory
苦い,苦い〜,苦い思い,bitter experience
パン,パンを〜,パンを食べる,to eat bread
パン,パンを〜,パンを作る,to make bread
パン,パンを〜,パンを買う,to buy bread
パン,パン〜,パン食,eating bread
パン,パン〜,パン作り,making bread
パン,パン〜,パン屋,a bakery
パン,〜パン,手作りパン,homemade bread
パン,〜パン,ライ麦パン,rye bread
パン,〜パン,メロンパン,melon-shaped bread
パン,〜のパン,手作りのパン,homemade bread
パン,〜のパン,五つのパン,five bread rolls
